unix Timestamp,ACC X,Light
1.6809E+12,0.62246567,3
1.6809E+12,0.90496933,3
1.6809E+12,1.2952074,3
1.6809E+12,1.2952074,3
1.6809E+12,1.6519281,3
1.6809E+12,1.5370114,3
1.6809E+12,1.5370114,3
1.6809E+12,1.3047838,3
1.6809E+12,1.139591,3
1.6809E+12,1.1802906,3
1.6809E+12,1.4604002,3
1.6809E+12,1.4604002,3
1.6809E+12,1.8626089,3
1.6809E+12,2.2241178,3
1.6809E+12,2.2241178,3
1.6809E+12,2.2241178,3
1.6809E+12,2.2241178,3
1.6809E+12,2.0254076,3
1.6809E+12,1.7524803,3
1.6809E+12,1.6279871,3
1.6809E+12,1.7883917,3
1.6809E+12,2.1882062,3
1.6809E+12,2.6598437,3
1.6809E+12,2.9926236,3
1.6809E+12,3.0716288,3
1.6809E+12,3.0716288,3
1.6809E+12,2.858554,3
1.6809E+12,2.228906,3
1.6809E+12,2.9231944,3
1.6809E+12,3.0907815,3
1.6809E+12,3.0141702,3
1.6809E+12,3.0141702,3
1.6809E+12,2.7053316,3
1.6809E+12,2.7053316,3
1.6809E+12,2.109201,3
1.6809E+12,2.0780778,3
1.6809E+12,2.0780778,3
1.6809E+12,2.2504528,3
1.6809E+12,2.5018332,3
1.6809E+12,2.61675,3
1.6809E+12,2.3653696,3
1.6809E+12,2.3653696,3
1.6809E+12,1.9847078,3
1.6809E+12,1.601652,3
1.6809E+12,1.601652,3
1.6809E+12,1.2904192,3
1.6809E+12,1.2904192,3
1.6809E+12,1.3598481,3
1.6809E+12,1.4436415,3
1.6809E+12,1.4101242,3
1.6809E+12,1.1755025,3
1.6809E+12,1.1755025,3
1.6809E+12,0.7661116,3
1.6809E+12,0.023940988,3
1.6809E+12,-0.11731084,3
1.6809E+12,-0.11731084,3
1.6809E+12,0.14125183,3
1.6809E+12,0.14125183,3
1.6809E+12,0.28010955,3
1.6809E+12,0.30883875,3
1.6809E+12,0.30883875,3
1.6809E+12,-0.09576395,3
1.6809E+12,-0.09576395,3
1.6809E+12,-0.3734794,3
1.6809E+12,-0.5362781,3
1.6809E+12,-0.5362781,3
1.6809E+12,-0.46924335,3
1.6809E+12,-0.46924335,3
1.6809E+12,-0.3615089,3
1.6809E+12,-0.30644462,3
1.6809E+12,-0.30644462,3
1.6809E+12,-0.3471443,3
1.6809E+12,-0.46684924,3
1.6809E+12,-0.60810107,3
1.6809E+12,-0.7397765,3
1.6809E+12,-0.7828703,3
1.6809E+12,-0.7804762,3
1.6809E+12,-0.75414115,3
1.6809E+12,-0.75414115,3
1.6809E+12,-0.7230178,3
1.6809E+12,-0.7230178,3
1.6809E+12,-0.7637175,3
1.6809E+12,-0.8283582,3
1.6809E+12,-0.90257525,3
1.6809E+12,-0.90257525,3
1.6809E+12,-0.96961,3
1.6809E+12,-1.0246743,3
1.6809E+12,-1.0510094,3
1.6809E+12,-1.0510094,3
1.6809E+12,-1.0510094,3
1.6809E+12,-1.0557975,3
1.6809E+12,-1.067768,3
1.6809E+12,-1.0964973,3
1.6809E+12,-1.1371969,3
1.6809E+12,-1.1755025,3
1.6809E+12,-1.2066257,3
1.6809E+12,-1.2329608,3
1.6809E+12,-1.1994435,3
1.6809E+12,-1.1994435,3
